Muestra 	 SP 	 Temp. 	 
 	 1 	 31 	 0.000000 
        212 	 24 	 3.187500 
        213 	 24 	 23.125000 
        214 	 24 	 23.125000 
        215 	 24 	 23.187500 
        216 	 24 	 23.125000 
        217 	 24 	 22.500000 
        218 	 24 	 23.125000 
        219 	 24 	 23.062500 
        220 	 24 	 23.187500 
        221 	 24 	 23.000000 
        222 	 24 	 23.062500 
        223 	 24 	 23.062500 
        224 	 24 	 23.062500 
        225 	 24 	 22.562500 
        226 	 24 	 23.000000 
        227 	 24 	 23.125000 
        228 	 24 	 23.000000 
        229 	 24 	 23.062500 
        230 	 24 	 23.125000 
        231 	 24 	 22.437500 
        232 	 24 	 22.375000 
        233 	 24 	 22.937500 
        234 	 24 	 22.937500 
        235 	 24 	 23.000000 
        236 	 24 	 22.937500 
        237 	 24 	 23.000000 
        238 	 24 	 23.000000 
        239 	 24 	 23.000000 
        240 	 24 	 22.937500 
        241 	 24 	 22.875000 
        242 	 24 	 22.812500 
        243 	 24 	 22.875000 
        244 	 24 	 22.875000 
        245 	 24 	 22.875000 
        246 	 24 	 22.875000 
        247 	 24 	 22.312500 
        248 	 24 	 22.312500 
        249 	 24 	 22.875000 
        250 	 24 	 22.250000 
        251 	 24 	 22.812500 
        252 	 24 	 22.812500 
        253 	 24 	 22.187500 
        254 	 24 	 22.750000 
        255 	 24 	 22.812500 
        0 	 24 	 22.875000 
Muestra 	 SP 	 Temp. 	 
 	 1 	 24 	 22.750000 
        2 	 24 	 22.875000 
        3 	 24 	 22.750000 
        4 	 24 	 22.750000 
        5 	 24 	 625000000022.812499 
        6 	 24 	 22.187500 
        7 	 24 	 22.750000 
        8 	 24 	 22.125000 
        9 	 24 	 22.687500 
        10 	 22 	 22.687500 
        11 	 22 	 22.125000 
        12 	 22 	 22.125000 
        13 	 22 	 22.000000 
        14 	 22 	 22.562500 
        15 	 22 	 22.562500 
        16 	 22 	 22.062500 
        17 	 22 	 22.687500 
        18 	 22 	 22.625000 
        19 	 22 	 22.062500 
        20 	 22 	 22.625000 
        21 	 22 	 21.937500 
        22 	 22 	 22.062500 
        23 	 22 	 22.500000 
        24 	 22 	 22.562500 
        25 	 22 	 22.625000 
        26 	 22 	 21.937500 
        27 	 22 	 22.625000 
        28 	 22 	 22.500000 
        29 	 22 	 22.625000 
        30 	 22 	 22.562500 
        31 	 22 	 22.000000 
        32 	 22 	 22.562500 
        33 	 22 	 21.937500 
        34 	 22 	 22.562500 
        35 	 22 	 21.875000 
        36 	 22 	 22.437500 
        37 	 22 	 22.437500 
        38 	 22 	 22.562500 
        39 	 22 	 22.500000 
        40 	 22 	 22.562500 
        41 	 22 	 22.500000 
        42 	 22 	 22.437500 
        43 	 22 	 21.937500 
        44 	 22 	 22.562500 
        45 	 22 	 22.375000 
        46 	 22 	 22.562500 
        47 	 22 	 22.437500 
        48 	 22 	 22.437500 
        49 	 22 	 22.437500 
        50 	 22 	 22.437500 
        51 	 22 	 22.500000 
        52 	 22 	 21.875000 
        53 	 22 	 22.437500 
        54 	 22 	 0.000000 
        55 	 22 	 22.437500 
        56 	 22 	 21.812500 
        57 	 22 	 22.375000 
        58 	 22 	 22.375000 
        59 	 22 	 22.437500 
        60 	 22 	 22.375000 
        61 	 22 	 22.437500 
        62 	 22 	 21.750000 
        63 	 22 	 22.437500 
        64 	 22 	 22.375000 
        65 	 22 	 22.375000 
        66 	 22 	 22.375000 
        67 	 22 	 22.312500 
        68 	 22 	 22.375000 
        69 	 22 	 22.312500 
        70 	 22 	 22.312500 
        71 	 22 	 22.250000 
        72 	 22 	 22.250000 
        73 	 22 	 22.312500 
        74 	 22 	 22.312500 
        75 	 22 	 22.187500 
        76 	 22 	 21.687500 
        77 	 22 	 22.125000 
        78 	 22 	 21.562500 
        79 	 22 	 22.250000 
        80 	 22 	 22.250000 
        81 	 22 	 22.125000 
        82 	 22 	 22.250000 
        83 	 22 	 21.500000 
        84 	 22 	 21.625000 
        85 	 22 	 22.125000 
        86 	 22 	 22.187500 
        87 	 22 	 22.125000 
        88 	 22 	 22.187500 
        89 	 22 	 22.000000 
        90 	 22 	 21.500000 
        91 	 22 	 21.687500 
        92 	 22 	 22.250000 
        93 	 22 	 21.562500 
        94 	 22 	 22.125000 
        95 	 22 	 22.125000 
        96 	 22 	 22.000000 
        97 	 22 	 22.000000 
        98 	 22 	 21.437500 
        99 	 22 	 21.437500 
        100 	 22 	 22.125000 
        101 	 22 	 22.000000 
        102 	 22 	 22.000000 
        103 	 22 	 21.937500 
        104 	 22 	 21.437500 
        105 	 22 	 21.437500 
        106 	 22 	 22.062500 
        107 	 22 	 22.062500 
        108 	 22 	 21.375000 
        109 	 22 	 21.437500 
        110 	 22 	 21.437500 
        111 	 22 	 22.000000 
        112 	 22 	 22.062500 
        113 	 22 	 21.937500 
        114 	 22 	 22.000000 
        115 	 22 	 21.937500 
        116 	 22 	 21.312500 
        117 	 22 	 21.875000 
        118 	 22 	 22.062500 
        119 	 22 	 21.312500 
        120 	 22 	 21.937500 
        121 	 22 	 22.000000 
        122 	 22 	 21.312500 
        123 	 22 	 21.312500 
        124 	 22 	 22.000000 
        125 	 22 	 21.375000 
        126 	 22 	 21.875000 
        127 	 22 	 22.000000 
        128 	 22 	 687500000021.312499 
        129 	 22 	 22.000000 
        130 	 22 	 21.375000 
        131 	 22 	 21.812500 
        132 	 22 	 21.937500 
        133 	 22 	 21.875000 
        134 	 22 	 21.875000 
        135 	 22 	 21.937500 
        136 	 22 	 21.875000 
        137 	 22 	 21.812500 
        138 	 22 	 21.812500 
        139 	 22 	 21.250000 
        140 	 22 	 21.812500 
        141 	 22 	 21.812500 
        142 	 22 	 21.250000 
        143 	 22 	 21.187500 
        144 	 22 	 21.875000 
        145 	 22 	 21.937500 
        146 	 22 	 21.187500 
        147 	 22 	 21.750000 
        148 	 22 	 21.937500 
        149 	 22 	 21.875000 
        150 	 22 	 21.187500 
        151 	 22 	 21.750000 
        152 	 22 	 21.250000 
        153 	 22 	 21.250000 
        154 	 22 	 21.875000 
        155 	 22 	 21.812500 
        156 	 22 	 21.812500 
        157 	 22 	 21.687500 
        158 	 22 	 21.125000 
        159 	 22 	 21.187500 
        160 	 22 	 21.812500 
        161 	 22 	 21.875000 
        162 	 22 	 21.750000 
        163 	 22 	 21.687500 
        164 	 22 	 21.812500 
        165 	 22 	 21.625000 
        166 	 22 	 21.750000 
        167 	 22 	 21.187500 
        168 	 22 	 21.687500 
        169 	 22 	 21.750000 
